Case,Inlet Velocity ,Density,Kinematic Viscosity ,Bifurcation Type,D1 (m),D2 (m),I (m),A1,A2,A3,Angle (X1),Angle (X2),Reynlods Number,Particle Density,Particle Diameter,D1/D2,I/D1,I/D2,SIx_1,SIy_1,SIz_1,Q1,SIx_2,SIy_2,SIz_2,Q2,Q1/Q2,V1,V2,,,,,,
1,0.212,1100,3.00E-06,1014,0.008,0.008,0.008,5.02656E-05,5.02656E-05,5.02656E-05,90,0,5.33E+02,1050,0.0006,1,1,1,3.69E-06,3.85E-06,2.79E-09,5.33325E-06,3.66E-06,-3.83E-06,5.99E-10,5.29965E-06,1.006339211,0.106101315,0.105432953,,,,,,
2,0.212,1100,3.00E-06,1014,0.006,0.008,0.008,2.82744E-05,5.02656E-05,5.02656E-05,90,0,5.33E+02,1050,0.0006,0.75,1.333333333,1,2.38E-06,2.42E-06,-3.31E-10,3.38981E-06,5.05E-06,-5.19E-06,7.87E-10,7.24098E-06,0.468142876,0.119889878,0.144054432,,,,,,
3,0.212,1100,3.00E-06,1014,0.004,0.008,0.008,1.25664E-05,5.02656E-05,5.02656E-05,90,0,5.33E+02,1050,0.0006,0.5,2,1,9.72E-07,9.76E-07,2.86E-10,1.37748E-06,6.48E-06,-6.60E-06,7.69E-10,9.24941E-06,0.148926828,0.109616507,0.18401068,,,,,,
4,0.212,1100,3.00E-06,1014,0.002,0.008,0.008,3.1416E-06,5.02656E-05,5.02656E-05,90,0,5.33E+02,1050,0.0006,0.25,4,1,1.01E-07,1.01E-07,-2.89E-10,1.42692E-07,7.37E-06,-7.46E-06,-3.14E-09,1.04853E-05,0.013608725,0.045420137,0.208598428,,,,,,
5,0.212,1100,3.00E-06,1014,0.008,0.006,0.008,5.02656E-05,2.82744E-05,5.02656E-05,90,0,5.33E+02,1050,0.0006,1.333333333,1,1.333333333,5.10E-06,5.18E-06,2.53E-08,7.26753E-06,2.36E-06,-2.40E-06,-2.27E-08,3.371E-06,2.155895884,0.144582543,0.119224511,,,,,,
6,0.212,1100,3.00E-06,1014,0.008,0.004,0.008,5.02656E-05,1.25664E-05,5.02656E-05,90,0,5.33E+02,1050,0.0006,2,1,2,6.55E-06,6.56E-06,6.99E-10,9.27361E-06,9.65E-07,-9.69E-07,-5.13E-09,1.36772E-06,6.780357252,0.184492264,0.108839259,,,,,,
7,0.212,1100,3.00E-06,1014,0.008,0.002,0.008,5.02656E-05,3.1416E-06,5.02656E-05,90,0,5.33E+02,1050,0.0006,4,1,4,7.37E-06,7.46E-06,-1.07E-09,1.04857E-05,1.02E-07,-1.00E-07,-6.88E-11,1.42839E-07,73.4093245,0.208606827,0.045467102,,,,,,
8,0.212,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,90,0,4.00E+02,1050,0.0006,0.666666667,1.5,1,1.01E-06,1.02E-06,-8.29E-09,1.44062E-06,3.21E-06,-3.20E-06,1.44E-08,4.52901E-06,0.318086138,0.114640269,0.160180606,,,,,,
9,0.212,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,90,0,4.00E+02,1050,0.0006,0.666666667,1.5,1,1.01E-06,1.02E-06,-8.29E-09,1.44062E-06,3.21E-06,-3.20E-06,1.44E-08,4.52901E-06,0.318086138,0.114640269,0.160180606,,,,,,
10,0.212,1100,3.00E-06,1014,0.002,0.0015,0.002,3.1416E-06,1.76715E-06,3.1416E-06,90,0,1.33E+02,1050,0.0006,1.333333333,1,1.333333333,1.20E-07,-1.22E-07,2.00E-09,1.71193E-07,3.44E-07,3.43E-07,-9.42E-10,4.85623E-07,0.352522715,0.054492361,0.274805862,,,,,,
11,0.212,1100,3.00E-06,1014,0.008,0.008,0.008,5.02656E-05,5.02656E-05,5.02656E-05,70,0,5.33E+02,1050,0.0006,1,1,1,4.33E-06,3.12E-06,-1.04E-09,5.33396E-06,4.28E-06,-3.14E-06,1.05E-08,5.30709E-06,1.005062473,0.106115438,0.105580937,,,,,,
12,0.212,1100,3.00E-06,1014,0.006,0.008,0.008,2.82744E-05,5.02656E-05,5.02656E-05,70,0,5.33E+02,1050,0.0006,0.75,1.333333333,1,2.70E-06,1.93E-06,5.07E-09,3.31684E-06,5.95E-06,-4.27E-06,-1.04E-08,7.32202E-06,0.452994887,0.117308795,0.145666539,,,,,,
13,0.212,1100,3.00E-06,1014,0.004,0.008,0.008,1.25664E-05,5.02656E-05,5.02656E-05,70,0,5.33E+02,1050,0.0006,0.5,2,1,1.04E-06,7.28E-07,1.23E-09,1.26835E-06,7.62E-06,-5.45E-06,3.45E-09,9.36615E-06,0.135418272,0.100931724,0.186333282,,,,,,
14,0.212,1100,3.00E-06,1014,0.002,0.008,0.008,3.1416E-06,5.02656E-05,5.02656E-05,70,0,5.33E+02,1050,0.0006,0.25,4,1,1.07E-07,7.70E-08,-1.43E-09,1.31976E-07,8.55E-06,-6.11E-06,-3.99E-09,1.0503E-05,0.012565542,0.042009043,0.208949609,,,,,,
15,0.212,1100,3.00E-06,1014,0.008,0.006,0.008,5.02656E-05,2.82744E-05,5.02656E-05,70,0,5.33E+02,1050,0.0006,1.333333333,1,1.333333333,5.97E-06,4.25E-06,6.68E-09,7.32713E-06,2.70E-06,-1.93E-06,1.40E-08,3.31349E-06,2.211304103,0.145768273,0.117190393,,,,,,
16,0.212,1100,3.00E-06,1014,0.008,0.004,0.008,5.02656E-05,1.25664E-05,5.02656E-05,70,0,5.33E+02,1050,0.0006,2,1,2,7.63E-06,5.44E-06,-1.14E-09,9.36991E-06,1.04E-06,-7.23E-07,-2.86E-09,1.26622E-06,7.39993082,0.186407979,0.100762012,,,,,,
17,0.212,1100,3.00E-06,1014,0.008,0.002,0.008,5.02656E-05,3.1416E-06,5.02656E-05,70,0,5.33E+02,1050,0.0006,4,1,4,8.55E-06,6.11E-06,4.81E-09,1.05024E-05,1.09E-07,-7.56E-08,3.54E-10,1.32401E-07,79.32282253,0.208938444,0.04214443,,,,,,
18,0.212,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,70,0,4.00E+02,1050,0.0006,0.666666667,1.5,1,1.14E-06,8.08E-07,6.49E-09,1.39466E-06,3.74E-06,-2.64E-06,-2.43E-08,4.58015E-06,0.304501867,0.110983643,0.161989363,,,,,,
19,0.212,1100,3.00E-06,1014,0.002,0.004,0.004,3.1416E-06,1.25664E-05,1.25664E-05,70,0,2.67E+02,1050,0.0006,0.5,2,1,1.89E-07,1.29E-07,-3.25E-09,2.28532E-07,1.97E-06,-1.39E-06,-1.14E-09,2.41038E-06,0.094811669,0.072743944,0.191811687,,,,,,
20,0.212,1100,3.00E-06,1014,0.002,0.0015,0.002,3.1416E-06,1.76715E-06,3.1416E-06,70,0,1.33E+02,1050,0.0006,1.333333333,1,1.333333333,4.01E-07,2.78E-07,3.17E-09,4.87695E-07,1.38E-07,-9.83E-08,-1.16E-09,1.69619E-07,2.875234249,0.155237791,0.09598463,,,,,,
21,0.212,1100,3.00E-06,1014,0.008,0.008,0.008,5.02656E-05,5.02656E-05,5.02656E-05,50,0,5.33E+02,1050,0.0006,1,1,1,4.78E-06,2.38E-06,1.25E-08,5.33521E-06,4.74E-06,-2.37E-06,1.12E-08,5.30438E-06,1.005812363,0.106140422,0.10552706,,,,,,
22,0.212,1100,3.00E-06,1014,0.006,0.008,0.008,2.82744E-05,5.02656E-05,5.02656E-05,50,0,5.33E+02,1050,0.0006,0.75,1.333333333,1,2.83E-06,1.37E-06,6.83E-09,3.148E-06,6.73E-06,-3.29E-06,-1.26E-09,7.48972E-06,0.420309467,0.111337427,0.149002836,,,,,,
23,0.212,1100,3.00E-06,1014,0.004,0.008,0.008,1.25664E-05,5.02656E-05,5.02656E-05,50,0,5.33E+02,1050,0.0006,0.5,2,1,1.06E-06,5.05E-07,-7.21E-09,1.17282E-06,8.53E-06,-4.10E-06,-5.16E-09,9.46411E-06,0.123923345,0.093330152,0.188282022,,,,,,
24,0.212,1100,3.00E-06,1014,0.002,0.008,0.008,3.1416E-06,5.02656E-05,5.02656E-05,50,0,5.33E+02,1050,0.0006,0.25,4,1,9.92E-08,4.66E-08,1.27E-09,1.09612E-07,9.50E-06,-4.53E-06,-1.30E-09,1.05249E-05,0.010414577,0.03489058,0.20938549,,,,,,
25,0.212,1100,3.00E-06,1014,0.008,0.006,0.008,5.02656E-05,2.82744E-05,5.02656E-05,50,0,5.33E+02,1050,0.0006,1.333333333,1,1.333333333,6.74E-06,3.29E-06,3.95E-10,7.49684E-06,2.83E-06,-1.36E-06,-3.26E-09,3.14156E-06,2.38634224,0.149144545,0.111109736,,,,,,
26,0.212,1100,3.00E-06,1014,0.008,0.004,0.008,5.02656E-05,1.25664E-05,5.02656E-05,50,0,5.33E+02,1050,0.0006,2,1,2,8.54E-06,4.11E-06,-8.37E-09,9.47323E-06,1.06E-06,-4.87E-07,-1.54E-09,1.16688E-06,8.118404725,0.188463549,0.09285743,,,,,,
27,0.212,1100,3.00E-06,1014,0.008,0.002,0.008,5.02656E-05,3.1416E-06,5.02656E-05,50,0,5.33E+02,1050,0.0006,4,1,4,9.50E-06,4.53E-06,2.32E-09,1.05258E-05,9.96E-08,-4.55E-08,4.08E-10,1.09528E-07,96.10133492,0.209403021,0.034863702,,,,,,
28,0.212,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,50,0,4.00E+02,1050,0.0006,0.666666667,1.5,1,1.16E-06,5.57E-07,-5.36E-09,1.28945E-06,4.23E-06,-2.02E-06,-2.98E-09,4.68186E-06,0.275413125,0.102610533,0.165586449,,,,,,
29,0.212,1100,3.00E-06,1014,0.002,0.004,0.004,3.1416E-06,1.25664E-05,1.25664E-05,50,0,2.67E+02,1050,0.0006,0.5,2,1,1.92E-07,8.88E-08,5.41E-10,2.11478E-07,2.20E-06,-1.03E-06,3.18E-10,2.42669E-06,0.087146811,0.067315518,0.193109528,,,,,,
